date,value
01/01/2020,116.3
02/01/2020,116.31
03/01/2020,116.33
04/01/2020,116.41
05/01/2020,116.45
06/01/2020,116.48
07/01/2020,116.53
08/01/2020,116.55
09/01/2020,116.6
10/01/2020,116.63
11/01/2020,116.67
12/01/2020,116.69
13/01/2020,116.72
14/01/2020,116.76
15/01/2020,116.82
16/01/2020,116.87
17/01/2020,116.91
18/01/2020,116.51
19/01/2020,115.98
20/01/2020,115.43
21/01/2020,114.9
22/01/2020,114.31
23/01/2020,114.28
24/01/2020,114.34
25/01/2020,114.39
26/01/2020,114.43
27/01/2020,114.47
28/01/2020,114.5
29/01/2020,114.53
30/01/2020,114.56
31/01/2020,114.6
01/02/2020,114.68
02/02/2020,114.51
03/02/2020,113.95
04/02/2020,113.43
05/02/2020,112.86
06/02/2020,112.27
07/02/2020,111.74
08/02/2020,111.87
09/02/2020,111.96
10/02/2020,111.97
11/02/2020,112.02
12/02/2020,112.07
13/02/2020,112.1
14/02/2020,112.12
15/02/2020,112.17
16/02/2020,112.22
17/02/2020,112.24
18/02/2020,112.24
19/02/2020,112.22
20/02/2020,112.22
21/02/2020,112.27
22/02/2020,112.32
23/02/2020,112.38
24/02/2020,112.39
25/02/2020,112.43
26/02/2020,112.46
27/02/2020,112.46
28/02/2020,112.34
29/02/2020,112.35
01/03/2020,112.38
02/03/2020,112.41
03/03/2020,112.56
04/03/2020,113.26
05/03/2020,113.63
06/03/2020,113.7
07/03/2020,113.73
08/03/2020,113.69
09/03/2020,113.61
10/03/2020,113.56
11/03/2020,113.41
12/03/2020,113.31
13/03/2020,113.2
14/03/2020,113.25
15/03/2020,113.29
16/03/2020,113.27
17/03/2020,113.29
18/03/2020,113.35
19/03/2020,113.41
20/03/2020,113.44
22/03/2020,113.53
23/03/2020,113.4
24/03/2020,113.24
25/03/2020,113.28
26/03/2020,112.99
27/03/2020,112.75
28/03/2020,112.52
29/03/2020,112.52
30/03/2020,112.38
31/03/2020,112.33
01/04/2020,112.4
02/04/2020,112.53
03/04/2020,112.5
04/04/2020,112.67
05/04/2020,112.85
06/04/2020,112.89
07/04/2020,112.91
08/04/2020,112.89
09/04/2020,112.95
10/04/2020,113.07
11/04/2020,113.2
12/04/2020,113.44
13/04/2020,113.46
14/04/2020,113.6
15/04/2020,113.68
16/04/2020,113.78
17/04/2020,113.83
18/04/2020,113.96
19/04/2020,113.98
20/04/2020,114.02
21/04/2020,113.83
22/04/2020,114.09
23/04/2020,114.48
24/04/2020,115.06
25/04/2020,115.07
26/04/2020,114.99
27/04/2020,114.72
28/04/2020,114.35
29/04/2020,114.1
30/04/2020,114.17
01/05/2020,114.31
02/05/2020,113.82
03/05/2020,113.46
04/05/2020,113.15
05/05/2020,112.79
06/05/2020,112.35
07/05/2020,111.93
08/05/2020,111.44
09/05/2020,110.87
10/05/2020,110.26
11/05/2020,109.6
12/05/2020,109.03
